col_index,feature_name,feature_family
0,ECFP_0,ECFP6_2048
1,ECFP_1,ECFP6_2048
2,ECFP_2,ECFP6_2048
3,ECFP_3,ECFP6_2048
4,ECFP_4,ECFP6_2048
5,ECFP_5,ECFP6_2048
6,ECFP_6,ECFP6_2048
7,ECFP_7,ECFP6_2048
8,ECFP_8,ECFP6_2048
9,ECFP_9,ECFP6_2048
10,ECFP_10,ECFP6_2048
11,ECFP_11,ECFP6_2048
12,ECFP_12,ECFP6_2048
13,ECFP_13,ECFP6_2048
14,ECFP_14,ECFP6_2048
15,ECFP_15,ECFP6_2048
16,ECFP_16,ECFP6_2048
17,ECFP_17,ECFP6_2048
18,ECFP_18,ECFP6_2048
19,ECFP_19,ECFP6_2048
20,ECFP_20,ECFP6_2048
21,ECFP_21,ECFP6_2048
22,ECFP_22,ECFP6_2048
23,ECFP_23,ECFP6_2048
24,ECFP_24,ECFP6_2048
25,ECFP_25,ECFP6_2048
26,ECFP_26,ECFP6_2048
27,ECFP_27,ECFP6_2048
28,ECFP_28,ECFP6_2048
29,ECFP_29,ECFP6_2048
30,ECFP_30,ECFP6_2048
31,ECFP_31,ECFP6_2048
32,ECFP_32,ECFP6_2048
33,ECFP_33,ECFP6_2048
34,ECFP_34,ECFP6_2048
35,ECFP_35,ECFP6_2048
36,ECFP_36,ECFP6_2048
37,ECFP_37,ECFP6_2048
38,ECFP_38,ECFP6_2048
39,ECFP_39,ECFP6_2048
40,ECFP_40,ECFP6_2048
41,ECFP_41,ECFP6_2048
42,ECFP_42,ECFP6_2048
43,ECFP_43,ECFP6_2048
44,ECFP_44,ECFP6_2048
45,ECFP_45,ECFP6_2048
46,ECFP_46,ECFP6_2048
47,ECFP_47,ECFP6_2048
48,ECFP_48,ECFP6_2048
49,ECFP_49,ECFP6_2048
50,ECFP_50,ECFP6_2048
51,ECFP_51,ECFP6_2048
52,ECFP_52,ECFP6_2048
53,ECFP_53,ECFP6_2048
54,ECFP_54,ECFP6_2048
55,ECFP_55,ECFP6_2048
56,ECFP_56,ECFP6_2048
57,ECFP_57,ECFP6_2048
58,ECFP_58,ECFP6_2048
59,ECFP_59,ECFP6_2048
60,ECFP_60,ECFP6_2048
61,ECFP_61,ECFP6_2048
62,ECFP_62,ECFP6_2048
63,ECFP_63,ECFP6_2048
64,ECFP_64,ECFP6_2048
65,ECFP_65,ECFP6_2048
66,ECFP_66,ECFP6_2048
