observation_id,molecule_group_id,fold
0,MOL_000997,2
1,MOL_000997,2
2,MOL_002588,2
3,MOL_002588,2
4,MOL_002588,2
5,MOL_000870,3
6,MOL_001021,4
7,MOL_001021,4
8,MOL_001021,4
9,MOL_001021,4
10,MOL_001021,4
11,MOL_001022,2
12,MOL_001022,2
13,MOL_001022,2
14,MOL_000918,3
15,MOL_000918,3
16,MOL_003286,3
17,MOL_000002,1
18,MOL_003730,1
19,MOL_003730,1
20,MOL_003730,1
21,MOL_003730,1
22,MOL_003730,1
23,MOL_003730,1
24,MOL_003730,1
25,MOL_003730,1
26,MOL_003730,1
27,MOL_003730,1
28,MOL_003730,1
29,MOL_003743,5
30,MOL_003743,5
31,MOL_003743,5
32,MOL_003743,5
33,MOL_003743,5
34,MOL_003743,5
35,MOL_003743,5
36,MOL_003743,5
37,MOL_003743,5
38,MOL_003743,5
39,MOL_003743,5
40,MOL_003743,5
41,MOL_000998,3
42,MOL_000998,3
43,MOL_003011,1
44,MOL_003275,4
45,MOL_003279,5
46,MOL_003279,5
47,MOL_003279,5
48,MOL_003270,5
49,MOL_002420,4
50,MOL_000397,4
51,MOL_000397,4
52,MOL_000397,4
53,MOL_001232,2
54,MOL_002426,4
55,MOL_002426,4
56,MOL_002426,4
57,MOL_002445,4
58,MOL_002445,4
59,MOL_002436,5
60,MOL_002436,5
61,MOL_002436,5
62,MOL_001023,4
63,MOL_001023,4
64,MOL_001023,4
65,MOL_001023,4
66,MOL_001023,4
67,MOL_001023,4
68,MOL_001023,4
69,MOL_001023,4
70,MOL_003457,4
71,MOL_002978,1
72,MOL_002978,1
73,MOL_002978,1
74,MOL_003321,4
75,MOL_003321,4
76,MOL_003321,4
77,MOL_003321,4
78,MOL_003006,2
79,MOL_003006,2
80,MOL_002600,5
81,MOL_002600,5
82,MOL_000387,3
83,MOL_000387,3
84,MOL_003328,4
85,MOL_003328,4
86,MOL_003328,4
87,MOL_003328,4
88,MOL_002201,5
89,MOL_003721,1
90,MOL_003015,4
91,MOL_003015,4
92,MOL_003208,5
93,MOL_001012,1
94,MOL_001012,1
95,MOL_000828,1
96,MOL_002430,3
97,MOL_002430,3
98,MOL_000014,2
99,MOL_001498,2
100,MOL_001498,2
101,MOL_002516,4
102,MOL_003283,5
103,MOL_003453,1
104,MOL_003453,1
105,MOL_002439,1
106,MOL_002439,1
107,MOL_002439,1
108,MOL_002439,1
109,MOL_001291,5
110,MOL_003727,5
111,MOL_002427,2
112,MOL_002427,2
113,MOL_000819,3
114,MOL_000886,4
115,MOL_000485,1
116,MOL_000485,1
117,MOL_002214,2
118,MOL_002214,2
119,MOL_002214,2
120,MOL_002214,2
121,MOL_002214,2
122,MOL_003735,2
123,MOL_003735,2
124,MOL_003276,4
125,MOL_001026,2
126,MOL_001026,2
127,MOL_001026,2
128,MOL_001026,2
129,MOL_000890,4
130,MOL_002435,2
131,MOL_002435,2
132,MOL_002195,2
133,MOL_000145,5
134,MOL_003363,2
135,MOL_003363,2
136,MOL_001093,3
137,MOL_001093,3
138,MOL_002440,1
139,MOL_000995,5
140,MOL_000995,5
141,MOL_000999,4
142,MOL_000999,4
143,MOL_000996,1
144,MOL_000996,1
145,MOL_001000,2
146,MOL_001000,2
147,MOL_000812,2
148,MOL_000812,2
149,MOL_002689,1
150,MOL_002689,1
151,MOL_002689,1
152,MOL_003278,3
153,MOL_002429,1
154,MOL_002429,1
155,MOL_000979,5
156,MOL_000515,2
157,MOL_000514,5
158,MOL_002230,5
159,MOL_002218,3
160,MOL_002218,3
161,MOL_002218,3
162,MOL_003269,3
163,MOL_002447,5
164,MOL_002421,5
165,MOL_000018,5
166,MOL_000811,3
167,MOL_000811,3
168,MOL_001071,2
169,MOL_001071,2
170,MOL_001071,2
171,MOL_001071,2
172,MOL_001071,2
173,MOL_001011,4
174,MOL_002207,3
175,MOL_002207,3
176,MOL_002207,3
177,MOL_000914,1
178,MOL_002432,4
179,MOL_002432,4
180,MOL_003307,4
181,MOL_000751,2
182,MOL_002232,3
183,MOL_002232,3
184,MOL_002232,3
185,MOL_001216,4
186,MOL_002977,5
187,MOL_002977,5
188,MOL_000395,2
189,MOL_000395,2
190,MOL_000395,2
191,MOL_000395,2
192,MOL_000210,2
193,MOL_000208,1
194,MOL_000148,2
195,MOL_000148,2
196,MOL_000148,2
197,MOL_002583,3
198,MOL_002583,3
199,MOL_003724,4
200,MOL_003724,4
201,MOL_003736,5
202,MOL_003322,5
203,MOL_003714,2
204,MOL_003714,2
205,MOL_003714,2
206,MOL_003714,2
207,MOL_003714,2
208,MOL_003714,2
209,MOL_001485,5
210,MOL_001485,5
211,MOL_003016,3
212,MOL_002202,5
213,MOL_002202,5
214,MOL_002202,5
215,MOL_002222,3
216,MOL_002222,3
217,MOL_002222,3
218,MOL_001845,5
219,MOL_001845,5
220,MOL_001845,5
221,MOL_001845,5
222,MOL_001845,5
223,MOL_001845,5
224,MOL_000155,3
225,MOL_000155,3
226,MOL_000155,3
227,MOL_000310,1
228,MOL_000291,5
229,MOL_000003,3
230,MOL_001013,2
231,MOL_001013,2
232,MOL_001013,2
233,MOL_001013,2
234,MOL_001013,2
235,MOL_001013,2
236,MOL_000920,1
237,MOL_000853,2
238,MOL_002437,3
239,MOL_003309,1
240,MOL_003013,4
241,MOL_003746,4
242,MOL_003746,4
243,MOL_003746,4
244,MOL_003746,4
245,MOL_003746,4
246,MOL_000017,3
247,MOL_000017,3
248,MOL_000017,3
249,MOL_001349,3
250,MOL_001349,3
251,MOL_001349,3
252,MOL_001349,3
253,MOL_001349,3
254,MOL_002572,3
255,MOL_002572,3
256,MOL_001228,5
257,MOL_001228,5
258,MOL_001230,1
259,MOL_001238,2
260,MOL_000895,3
261,MOL_000895,3
262,MOL_001834,5
263,MOL_001017,1
264,MOL_001017,1
265,MOL_001017,1
266,MOL_001017,1
267,MOL_000872,5
268,MOL_000889,3
269,MOL_001015,4
270,MOL_001015,4
271,MOL_001015,4
272,MOL_001015,4
273,MOL_001015,4
274,MOL_002444,4
275,MOL_000904,3
276,MOL_003678,3
277,MOL_003678,3
278,MOL_003732,4
279,MOL_003732,4
280,MOL_003732,4
281,MOL_003732,4
282,MOL_003732,4
283,MOL_002587,2
284,MOL_003311,5
285,MOL_000893,1
286,MOL_000894,2
287,MOL_000894,2
288,MOL_002423,1
289,MOL_002423,1
290,MOL_002203,4
291,MOL_002203,4
292,MOL_002203,4
293,MOL_000909,3
294,MOL_003233,2
295,MOL_000960,2
296,MOL_000962,1
297,MOL_000486,5
298,MOL_000738,4
299,MOL_000738,4
300,MOL_000738,4
301,MOL_001352,1
302,MOL_001352,1
303,MOL_001352,1
304,MOL_001352,1
305,MOL_001352,1
306,MOL_000465,3
307,MOL_000465,3
308,MOL_003725,1
309,MOL_001141,3
310,MOL_001141,3
311,MOL_001141,3
312,MOL_001141,3
313,MOL_002690,4
314,MOL_002690,4
315,MOL_002690,4
316,MOL_002617,3
317,MOL_000875,4
318,MOL_000875,4
319,MOL_000873,1
320,MOL_000873,1
321,MOL_000921,3
322,MOL_000921,3
323,MOL_000849,1
324,MOL_001025,1
325,MOL_001025,1
326,MOL_001025,1
327,MOL_001025,1
328,MOL_000386,1
329,MOL_003331,3
330,MOL_001102,5
331,MOL_002208,1
332,MOL_002190,5
333,MOL_002189,4
334,MOL_002189,4
335,MOL_003002,5
336,MOL_003277,2
337,MOL_001850,4
338,MOL_001850,4
339,MOL_001850,4
340,MOL_001850,4
341,MOL_000966,3
342,MOL_000967,4
343,MOL_002223,4
344,MOL_001233,4
345,MOL_001233,4
346,MOL_001233,4
347,MOL_001231,3
348,MOL_001231,3
349,MOL_000690,5
350,MOL_001497,3
351,MOL_001577,4
352,MOL_001577,4
353,MOL_001577,4
354,MOL_002613,4
355,MOL_002614,1
356,MOL_000897,5
357,MOL_002215,5
358,MOL_002215,5
359,MOL_000483,5
360,MOL_000923,3
361,MOL_002998,5
362,MOL_001842,5
363,MOL_001842,5
364,MOL_001844,3
365,MOL_001844,3
366,MOL_000823,1
367,MOL_000984,4
368,MOL_001871,4
369,MOL_000761,4
370,MOL_000765,2
371,MOL_000762,5
372,MOL_000762,5
373,MOL_000766,4
374,MOL_000766,4
375,MOL_003327,5
376,MOL_000410,1
377,MOL_003765,2
378,MOL_003765,2
379,MOL_003767,4
380,MOL_001146,3
381,MOL_001147,4
382,MOL_000435,3
383,MOL_001853,4
384,MOL_001853,4
385,MOL_001853,4
386,MOL_000680,5
387,MOL_000680,5
388,MOL_000680,5
389,MOL_001849,3
390,MOL_001849,3
391,MOL_001849,3
392,MOL_001354,3
393,MOL_001354,3
394,MOL_001354,3
395,MOL_001353,2
396,MOL_001353,2
397,MOL_001353,2
398,MOL_001841,2
399,MOL_001841,2
400,MOL_001841,2
401,MOL_000739,4
402,MOL_000739,4
403,MOL_000739,4
404,MOL_000741,3
405,MOL_000741,3
406,MOL_000741,3
407,MOL_000460,4
408,MOL_000460,4
409,MOL_003300,4
410,MOL_002543,4
411,MOL_001221,2
412,MOL_001220,5
413,MOL_000851,5
414,MOL_002557,2
415,MOL_000135,3
416,MOL_001303,5
417,MOL_001576,5
418,MOL_001576,5
419,MOL_001074,4
420,MOL_001074,4
421,MOL_001140,2
422,MOL_000846,3
423,MOL_003626,3
424,MOL_003626,3
425,MOL_003626,3
426,MOL_003627,4
427,MOL_003627,4
428,MOL_003627,4
429,MOL_001376,4
430,MOL_000991,5
431,MOL_000992,2
432,MOL_001027,3
433,MOL_001833,5
434,MOL_002450,3
435,MOL_002450,3
436,MOL_000871,2
437,MOL_000919,5
438,MOL_000859,1
439,MOL_000859,1
440,MOL_000903,1
441,MOL_000903,1
442,MOL_000867,5
443,MOL_002212,4
444,MOL_003777,2
445,MOL_000143,5
446,MOL_000749,4
