observation_id,structure_solvent_group_id,fold
0,SSG_001022,3
1,SSG_001022,3
2,SSG_002674,3
3,SSG_002675,3
4,SSG_002675,3
5,SSG_000894,4
6,SSG_001046,2
7,SSG_001046,2
8,SSG_001046,2
9,SSG_001046,2
10,SSG_001046,2
11,SSG_001048,0
12,SSG_001048,0
13,SSG_001048,0
14,SSG_000943,1
15,SSG_000942,0
16,SSG_003402,1
17,SSG_000002,0
18,SSG_003894,3
19,SSG_003894,3
20,SSG_003894,3
21,SSG_003894,3
22,SSG_003894,3
23,SSG_003895,1
24,SSG_003895,1
25,SSG_003894,3
26,SSG_003895,1
27,SSG_003895,1
28,SSG_003894,3
29,SSG_003910,4
30,SSG_003910,4
31,SSG_003910,4
32,SSG_003910,4
33,SSG_003912,1
34,SSG_003910,4
35,SSG_003912,1
36,SSG_003911,0
37,SSG_003910,4
38,SSG_003910,4
39,SSG_003911,0
40,SSG_003910,4
41,SSG_001021,0
42,SSG_001021,0
43,SSG_003120,3
44,SSG_003391,1
45,SSG_003396,0
46,SSG_003396,0
47,SSG_003396,0
48,SSG_003388,2
49,SSG_002497,3
50,SSG_000401,4
51,SSG_000401,4
52,SSG_000401,4
53,SSG_001267,0
54,SSG_002505,1
55,SSG_002505,1
56,SSG_002505,1
57,SSG_002526,3
58,SSG_002527,4
59,SSG_002515,3
60,SSG_002515,3
61,SSG_002516,0
62,SSG_001047,4
63,SSG_001047,4
64,SSG_001047,4
65,SSG_001047,4
66,SSG_001047,4
67,SSG_001047,4
68,SSG_001047,4
69,SSG_001047,4
70,SSG_003588,0
71,SSG_003085,1
72,SSG_003085,1
73,SSG_003085,1
74,SSG_003439,1
75,SSG_003438,4
76,SSG_003438,4
77,SSG_003438,4
78,SSG_003115,3
79,SSG_003115,3
80,SSG_002690,4
81,SSG_002690,4
82,SSG_000391,0
83,SSG_000391,0
84,SSG_003447,2
85,SSG_003447,2
86,SSG_003448,4
87,SSG_003447,2
88,SSG_002267,0
89,SSG_003885,4
90,SSG_003124,2
91,SSG_003124,2
92,SSG_003320,2
93,SSG_001037,2
94,SSG_001037,2
95,SSG_000851,0
96,SSG_002508,3
97,SSG_002508,3
98,SSG_000014,1
99,SSG_001532,3
100,SSG_001533,4
101,SSG_002598,2
102,SSG_003399,0
103,SSG_003584,0
104,SSG_003584,0
105,SSG_002520,1
106,SSG_002519,3
107,SSG_002519,3
108,SSG_002519,3
109,SSG_001325,4
110,SSG_003891,4
111,SSG_002504,4
112,SSG_002504,4
113,SSG_000842,3
114,SSG_000909,2
115,SSG_000490,1
116,SSG_000490,1
117,SSG_002281,2
118,SSG_002281,2
119,SSG_002281,2
120,SSG_002281,2
121,SSG_002281,2
122,SSG_003901,3
123,SSG_003902,4
124,SSG_003392,3
125,SSG_001052,3
126,SSG_001053,0
127,SSG_001053,0
128,SSG_001053,0
129,SSG_000913,1
130,SSG_002514,2
131,SSG_002513,4
132,SSG_002261,1
133,SSG_000146,4
134,SSG_003486,4
135,SSG_003486,4
136,SSG_001122,1
137,SSG_001122,1
138,SSG_002521,2
139,SSG_001019,3
140,SSG_001019,3
141,SSG_001023,1
142,SSG_001023,1
143,SSG_001020,4
144,SSG_001020,4
145,SSG_001024,0
146,SSG_001024,0
147,SSG_000835,1
148,SSG_000835,1
149,SSG_002784,3
150,SSG_002783,0
151,SSG_002783,0
152,SSG_003394,4
153,SSG_002507,2
154,SSG_002507,2
155,SSG_001003,0
156,SSG_000520,4
157,SSG_000519,3
158,SSG_002299,3
159,SSG_002285,0
160,SSG_002285,0
161,SSG_002285,0
162,SSG_003384,1
163,SSG_002529,4
164,SSG_002498,4
165,SSG_000018,2
166,SSG_000834,4
167,SSG_000834,4
168,SSG_001098,0
169,SSG_001099,1
170,SSG_001099,1
171,SSG_001098,0
172,SSG_001099,1
173,SSG_001035,4
174,SSG_002275,4
175,SSG_002275,4
176,SSG_002274,3
177,SSG_000938,4
178,SSG_002510,0
179,SSG_002510,0
180,SSG_003424,3
181,SSG_000773,2
182,SSG_002301,1
183,SSG_002302,2
184,SSG_002301,1
185,SSG_001250,4
186,SSG_003084,3
187,SSG_003084,3
188,SSG_000399,0
189,SSG_000399,0
190,SSG_000399,0
191,SSG_000399,0
192,SSG_000211,0
193,SSG_000209,3
194,SSG_000149,4
195,SSG_000149,4
196,SSG_000149,4
197,SSG_002668,0
198,SSG_002669,1
199,SSG_003888,4
200,SSG_003888,4
201,SSG_003903,2
202,SSG_003440,2
203,SSG_003876,2
204,SSG_003875,1
205,SSG_003875,1
206,SSG_003876,2
207,SSG_003875,1
208,SSG_003875,1
209,SSG_001519,0
210,SSG_001519,0
211,SSG_003125,3
212,SSG_002268,1
213,SSG_002268,1
214,SSG_002268,1
215,SSG_002289,4
216,SSG_002289,4
217,SSG_002290,3
218,SSG_001889,3
219,SSG_001889,3
220,SSG_001889,3
221,SSG_001889,3
222,SSG_001889,3
223,SSG_001889,3
224,SSG_000156,2
225,SSG_000156,2
226,SSG_000156,2
227,SSG_000314,1
228,SSG_000295,3
229,SSG_000003,1
230,SSG_001036,0
231,SSG_001036,0
232,SSG_001036,0
233,SSG_001036,0
234,SSG_001036,0
235,SSG_001036,0
236,SSG_000945,3
237,SSG_000876,2
238,SSG_002517,4
239,SSG_003426,0
240,SSG_003122,0
241,SSG_003915,1
242,SSG_003915,1
243,SSG_003915,1
244,SSG_003915,1
245,SSG_003915,1
246,SSG_000017,0
247,SSG_000017,0
248,SSG_000017,0
249,SSG_001383,0
250,SSG_001383,0
251,SSG_001383,0
252,SSG_001383,0
253,SSG_001383,0
254,SSG_002657,4
255,SSG_002657,4
256,SSG_001262,0
257,SSG_001262,0
258,SSG_001265,3
259,SSG_001272,4
260,SSG_000918,0
261,SSG_000918,0
262,SSG_001877,4
263,SSG_001042,3
264,SSG_001043,0
265,SSG_001043,0
266,SSG_001043,0
267,SSG_000896,1
268,SSG_000912,1
269,SSG_001039,4
270,SSG_001039,4
271,SSG_001039,4
272,SSG_001039,4
273,SSG_001039,4
274,SSG_002525,2
275,SSG_000927,3
276,SSG_003833,3
277,SSG_003832,2
278,SSG_003897,4
279,SSG_003897,4
280,SSG_003897,4
281,SSG_003897,4
282,SSG_003898,3
283,SSG_002673,4
284,SSG_003428,2
285,SSG_000917,4
286,SSG_000916,3
287,SSG_000916,3
288,SSG_002500,2
289,SSG_002501,0
290,SSG_002269,3
291,SSG_002269,3
292,SSG_002269,3
293,SSG_000933,0
294,SSG_003346,4
295,SSG_000984,1
296,SSG_000986,3
297,SSG_000491,4
298,SSG_000760,2
299,SSG_000760,2
300,SSG_000760,2
301,SSG_001386,3
302,SSG_001386,3
303,SSG_001386,3
304,SSG_001386,3
305,SSG_001386,3
306,SSG_000470,0
307,SSG_000470,0
308,SSG_003889,2
309,SSG_001170,3
310,SSG_001171,4
311,SSG_001170,3
312,SSG_001171,4
313,SSG_002785,1
314,SSG_002785,1
315,SSG_002785,1
316,SSG_002707,4
317,SSG_000898,3
318,SSG_000898,3
319,SSG_000895,0
320,SSG_000895,0
321,SSG_000944,2
322,SSG_000944,2
323,SSG_000872,1
324,SSG_001050,2
325,SSG_001050,2
326,SSG_001050,2
327,SSG_001050,2
328,SSG_000390,4
329,SSG_003451,3
330,SSG_001131,4
331,SSG_002273,1
332,SSG_002256,4
333,SSG_002255,1
334,SSG_002255,1
335,SSG_003111,4
336,SSG_003393,4
337,SSG_001894,2
338,SSG_001894,2
339,SSG_001894,2
340,SSG_001894,2
341,SSG_000990,4
342,SSG_000991,0
343,SSG_002291,4
344,SSG_001266,4
345,SSG_001266,4
346,SSG_001266,4
347,SSG_001264,2
348,SSG_001264,2
349,SSG_000711,2
350,SSG_001531,4
351,SSG_001612,0
352,SSG_001612,0
353,SSG_001613,1
354,SSG_002703,0
355,SSG_002705,3
356,SSG_000920,4
357,SSG_002282,3
358,SSG_002282,3
359,SSG_000488,3
360,SSG_000947,0
361,SSG_003107,2
362,SSG_001886,4
363,SSG_001886,4
364,SSG_001888,2
365,SSG_001888,2
366,SSG_000846,1
367,SSG_001008,0
368,SSG_001915,3
369,SSG_000783,1
370,SSG_000787,4
371,SSG_000785,4
372,SSG_000785,4
373,SSG_000788,0
374,SSG_000788,0
375,SSG_003446,1
376,SSG_000414,4
377,SSG_003936,0
378,SSG_003936,0
379,SSG_003938,4
380,SSG_001176,3
381,SSG_001177,2
382,SSG_000440,3
383,SSG_001897,4
384,SSG_001897,4
385,SSG_001897,4
386,SSG_000700,2
387,SSG_000700,2
388,SSG_000700,2
389,SSG_001893,3
390,SSG_001893,3
391,SSG_001893,3
392,SSG_001388,1
393,SSG_001388,1
394,SSG_001388,1
395,SSG_001387,4
396,SSG_001387,4
397,SSG_001387,4
398,SSG_001885,0
399,SSG_001885,0
400,SSG_001885,0
401,SSG_000761,3
402,SSG_000761,3
403,SSG_000761,3
404,SSG_000763,3
405,SSG_000763,3
406,SSG_000763,3
407,SSG_000465,3
408,SSG_000465,3
409,SSG_003416,1
410,SSG_002625,0
411,SSG_001256,1
412,SSG_001254,4
413,SSG_000874,0
414,SSG_002639,4
415,SSG_000136,3
416,SSG_001337,1
417,SSG_001611,4
418,SSG_001611,4
419,SSG_001102,4
420,SSG_001103,0
421,SSG_001169,1
422,SSG_000869,2
423,SSG_003776,2
424,SSG_003776,2
425,SSG_003776,2
426,SSG_003777,4
427,SSG_003777,4
428,SSG_003777,4
429,SSG_001410,1
430,SSG_001015,0
431,SSG_001016,1
432,SSG_001051,4
433,SSG_001878,1
434,SSG_002532,3
435,SSG_002532,3
436,SSG_000893,3
437,SSG_000941,4
438,SSG_000882,2
439,SSG_000882,2
440,SSG_000926,4
441,SSG_000926,4
442,SSG_000890,0
443,SSG_002279,3
444,SSG_003948,2
445,SSG_000144,1
446,SSG_000771,3
447,SSG_000848,4
448,SSG_000847,2
449,SSG_001312,1
450,SSG_000844,4
451,SSG_000843,1
452,SSG_000849,3
453,SSG_000864,4
454,SSG_002503,2
455,SSG_000914,0
456,SSG_000517,1
457,SSG_001248,2
458,SSG_000774,4
459,SSG_003989,3
460,SSG_000395,3
461,SSG_000395,3
462,SSG_003937,1
463,SSG_003937,1
464,SSG_001887,1
465,SSG_001887,1
466,SSG_001887,1
467,SSG_001055,3
468,SSG_000705,0
469,SSG_002319,3
470,SSG_002331,0
471,SSG_002331,0
472,SSG_003922,1
473,SSG_003999,2
474,SSG_002702,0
475,SSG_002599,3
476,SSG_000157,4
477,SSG_000158,2
478,SSG_000155,3
479,SSG_000154,2
480,SSG_000316,4
481,SSG_002321,3
