split,seed,observation_id,molecule_group_id,scaffold_group_id,structure_solvent_group_id,partition
1,42,2,MOL_002588,SCF_000606,SSG_002674,train
1,42,3,MOL_002588,SCF_000606,SSG_002675,train
1,42,4,MOL_002588,SCF_000606,SSG_002675,train
1,42,53,MOL_001232,SCF_000420,SSG_001267,train
1,42,57,MOL_002445,SCF_000607,SSG_002526,train
1,42,58,MOL_002445,SCF_000607,SSG_002527,train
1,42,59,MOL_002436,SCF_000607,SSG_002515,train
1,42,60,MOL_002436,SCF_000607,SSG_002515,train
1,42,61,MOL_002436,SCF_000607,SSG_002516,train
1,42,70,MOL_003457,SCF_000138,SSG_003588,train
1,42,80,MOL_002600,SCF_000607,SSG_002690,train
1,42,81,MOL_002600,SCF_000607,SSG_002690,train
1,42,102,MOL_003283,SCF_000607,SSG_003399,train
1,42,103,MOL_003453,SCF_000138,SSG_003584,train
1,42,104,MOL_003453,SCF_000138,SSG_003584,train
1,42,109,MOL_001291,SCF_000606,SSG_001325,train
1,42,113,MOL_000819,SCF_000607,SSG_000842,train
1,42,122,MOL_003735,SCF_000607,SSG_003901,train
1,42,123,MOL_003735,SCF_000607,SSG_003902,train
1,42,134,MOL_003363,SCF_000138,SSG_003486,train
1,42,135,MOL_003363,SCF_000138,SSG_003486,train
1,42,138,MOL_002440,SCF_000607,SSG_002521,train
1,42,139,MOL_000995,SCF_000704,SSG_001019,train
1,42,140,MOL_000995,SCF_000704,SSG_001019,train
1,42,143,MOL_000996,SCF_000704,SSG_001020,train
1,42,144,MOL_000996,SCF_000704,SSG_001020,train
1,42,147,MOL_000812,SCF_000053,SSG_000835,train
1,42,148,MOL_000812,SCF_000053,SSG_000835,train
1,42,166,MOL_000811,SCF_000052,SSG_000834,train
1,42,167,MOL_000811,SCF_000052,SSG_000834,train
1,42,180,MOL_003307,SCF_000076,SSG_003424,train
1,42,185,MOL_001216,SCF_000606,SSG_001250,train
1,42,192,MOL_000210,SCF_000448,SSG_000211,train
1,42,193,MOL_000208,SCF_000448,SSG_000209,train
1,42,197,MOL_002583,SCF_000138,SSG_002668,train
1,42,198,MOL_002583,SCF_000138,SSG_002669,train
1,42,202,MOL_003322,SCF_000607,SSG_003440,train
1,42,203,MOL_003714,SCF_000607,SSG_003876,train
1,42,204,MOL_003714,SCF_000607,SSG_003875,train
1,42,205,MOL_003714,SCF_000607,SSG_003875,train
1,42,206,MOL_003714,SCF_000607,SSG_003876,train
1,42,207,MOL_003714,SCF_000607,SSG_003875,train
1,42,208,MOL_003714,SCF_000607,SSG_003875,train
1,42,211,MOL_003016,SCF_000607,SSG_003125,train
1,42,218,MOL_001845,SCF_000606,SSG_001889,train
1,42,219,MOL_001845,SCF_000606,SSG_001889,train
1,42,220,MOL_001845,SCF_000606,SSG_001889,train
1,42,221,MOL_001845,SCF_000606,SSG_001889,train
1,42,222,MOL_001845,SCF_000606,SSG_001889,train
1,42,223,MOL_001845,SCF_000606,SSG_001889,train
1,42,224,MOL_000155,SCF_000388,SSG_000156,train
1,42,225,MOL_000155,SCF_000388,SSG_000156,train
1,42,226,MOL_000155,SCF_000388,SSG_000156,train
1,42,227,MOL_000310,SCF_000448,SSG_000314,train
1,42,228,MOL_000291,SCF_000448,SSG_000295,train
1,42,238,MOL_002437,SCF_000607,SSG_002517,train
1,42,239,MOL_003309,SCF_000607,SSG_003426,train
1,42,240,MOL_003013,SCF_000047,SSG_003122,train
1,42,241,MOL_003746,SCF_000606,SSG_003915,train
1,42,242,MOL_003746,SCF_000606,SSG_003915,train
1,42,243,MOL_003746,SCF_000606,SSG_003915,train
1,42,244,MOL_003746,SCF_000606,SSG_003915,train
1,42,245,MOL_003746,SCF_000606,SSG_003915,train
1,42,249,MOL_001349,SCF_000606,SSG_001383,train
1,42,250,MOL_001349,SCF_000606,SSG_001383,train
1,42,251,MOL_001349,SCF_000606,SSG_001383,train
1,42,252,MOL_001349,SCF_000606,SSG_001383,train
1,42,253,MOL_001349,SCF_000606,SSG_001383,train
1,42,254,MOL_002572,SCF_000606,SSG_002657,train
1,42,255,MOL_002572,SCF_000606,SSG_002657,train
