feature_name,mean_abs_shap,mean_shap,rank,percentage_total_abs_shap
geo:signed_tetra_volume,0.4057692347794016,-0.0033376577262444434,1,6.071169021240617
ECFP_1412,0.2121232087242473,0.07402564663806713,2,3.1738134464357457
geo:signed_dihedral_subst_c_rn1_rn2,0.15214217150857007,-0.00017795860852601284,3,2.2763698164284705
geo:baseline_pm_dihedral_sin,0.15032381697281413,-0.0019522985815327804,4,2.249163373009675
dihedral,0.09409603281844843,0.004438437714487622,5,1.4078763752988317
geo:signed_dihedral_NS_path,0.0940700942668968,-0.004428698035364498,6,1.4074882795115262
sPAS_0,0.08216979071275186,0.0012562957647708674,7,1.2294344792509846
3D_Sphero,0.07637489126531782,0.0021731497024482047,8,1.1427304835042575
PAS_5,0.07548037424438163,-0.01097880959808899,9,1.1293466102063405
solvent_code,0.07460613485921923,0.0009464928369534578,10,1.1162661333800676
PAS_10,0.07191022446309163,-0.007081839123028581,11,1.075929591626456
sPAS_10,0.07123983918541918,-0.0011517186898529932,12,1.0658992049405027
PAS_15,0.06255864039444176,-0.006602781229286829,13,0.9360100446751441
MACCS_129,0.05610843461941278,0.001429196225669725,14,0.8395012753415771
ECFP_492,0.05490453622918107,0.005872538495942067,15,0.8214884000789421
ECFP_1465,0.054667016106819045,0.010293297443188557,16,0.8179345948980501
3D_RoG,0.05333048053920014,-0.0007140889757279386,17,0.7979371859315336
TPSA,0.052592674194928815,0.0033010634657994024,18,0.7868980369841029
geo:baseline_pm_dihedral_cos,0.052102017590694404,-0.0007895047948178992,19,0.7795567727374071
geo:subst_to_ringplane_signed_dist,0.051723908182899084,-0.0028057683942449697,20,0.7738994534374494
ECFP_1342,0.05157753964237718,-0.006779577042225481,21,0.771709469395451
3D_Ecc,0.050442335032962735,-0.0027120697556750196,22,0.7547243989004112
MolLogP,0.04891929223841885,-0.0005793984861800516,23,0.731936445946596
ECFP_429,0.04701476645022089,-0.006913847095165443,24,0.7034406976877428
sPAS_5,0.045361399790403156,-0.002675832942234728,25,0.6787028230894021
geo:ringnormal_dot_substvec,0.0451418269657591,-0.000403752951693854,26,0.6754175475765605
3D_NPR2,0.04257903456941282,0.002452625045761453,27,0.6370727336504199
3D_NPR1,0.04217668117150261,0.006618299695390964,28,0.6310526727990561
ECFP_1419,0.039722139296252096,-0.0007381856995262819,29,0.5943275164365727
ECFP_373,0.039345367029296856,0.0028026156611596974,30,0.5886902036017422
MolWt,0.03866879333312733,0.003413956121164415,31,0.5785672250397923
MACCS_62,0.036539595537241745,0.0003953887423935847,32,0.5467099066664513
3D_Asph,0.036263446327924616,-0.0024772438757265296,33,0.5425781283522139
3D_ISF,0.03557728269323383,-0.0057631666454453995,34,0.5323116639547804
3D_PMI3,0.03531377634910407,-0.001986962674820518,35,0.528369049738967
PAS_0,0.03518472544195883,-0.0032009716596467976,36,0.5264381742499735
3D_PMI2,0.032863243877893064,0.0054645151037690555,37,0.49170388257110925
sPAS_15,0.03254127659499017,-0.0002679631119582305,38,0.486886568624487
ECFP_1691,0.03115138561225351,-0.0013727215292449815,39,0.46609084939781864
3D_PMI1,0.031046889202959373,0.0032828960756363943,40,0.46452736131503597
ECFP_1359,0.02928445716273532,-0.001209905476952393,41,0.4381576371281659
ECFP_1483,0.02857559749784091,0.0058435459098020335,42,0.4275515919452341
MACCS_118,0.027798887256255216,-0.0018082702269735151,43,0.4159303581181822
ECFP_1214,0.025912983689313492,0.002196494425757235,44,0.3877132378160764
pm_code,0.025730605550851757,0.00025350955127880425,45,0.38498447375641975
ECFP_1325,0.025725107237412535,-0.0021774479220659873,46,0.384902207316877
ECFP_1575,0.02490264645581459,-0.003518805059264728,47,0.37259644830304395
ECFP_301,0.024321668291870845,0.0013336089465344322,48,0.36390378181030175
ECFP_937,0.023972375254404626,0.0004846582024023696,49,0.3586776165748994
MACCS_128,0.02387544036379091,0.00010334278737850635,50,0.35722726486134154
ECFP_1279,0.023761322093659578,-0.000576411397010581,51,0.3555198133174719
ECFP_36,0.022484825382812254,-0.0010155274022156755,52,0.33642071308424437
MACCS_150,0.02225065396211699,-0.000861673946497758,53,0.33291701158810233
ECFP_1464,0.022244883831206107,-0.00016107238860388811,54,0.3328306781822351
ECFP_445,0.022237520704895465,-0.002025564321531909,55,0.3327205101839615
ECFP_762,0.02218619325182815,-0.0024108808576182067,56,0.33195254254055234
ECFP_861,0.022079669649319036,-0.001237144864946672,57,0.33035872334443744
ECFP_1216,0.02167770366324162,-0.0009944339410519255,58,0.3243444589963964
ECFP_1935,0.021220668416569204,-0.0036166746849327393,59,0.3175062416221267
ECFP_1749,0.020393158839606844,0.0006871156481073634,60,0.3051249419132784
ECFP_1832,0.0201892705307997,0.00020022858424192968,61,0.30207434004865935
