Split,Seed,Training n,Test n,ROC-AUC,Balanced accuracy,Sensitivity,Specificity
1,42,3620,1584,0.8697,0.7995,0.700,0.899
2,142,4118,1086,0.7681,0.6868,0.574,0.799
3,242,3854,1350,0.7755,0.6994,0.553,0.846
4,342,4160,1044,0.7013,0.6435,0.406,0.881
5,442,3698,1506,0.7757,0.7154,0.708,0.723
6,542,4164,1040,0.8592,0.7484,0.632,0.865
7,642,3874,1330,0.7949,0.7132,0.522,0.904
8,742,4164,1040,0.7823,0.7238,0.642,0.805
9,842,4139,1065,0.7924,0.7206,0.535,0.906
10,942,4164,1040,0.7310,0.6288,0.442,0.816
