feature_i,feature_j,family_i,family_j,mean_abs_half_interaction,mean_abs_full_pair_interaction,rank_half,rank_full
geo:signed_dihedral_subst_c_rn1_rn2,MACCS_129,signed-geometry,other,0.04656188189983368,0.09312376379966736,1,1
geo:signed_tetra_volume,geo:subst_to_ringplane_signed_dist,signed-geometry,signed-geometry,0.026993732899427414,0.05398746579885483,2,2
ECFP_1412,PAS_5,other,other,0.023471927270293236,0.04694385454058647,3,3
geo:signed_tetra_volume,PAS_5,signed-geometry,other,0.018890755251049995,0.03778151050209999,4,4
geo:signed_tetra_volume,ECFP_1412,signed-geometry,other,0.018112288787961006,0.03622457757592201,5,5
geo:signed_dihedral_subst_c_rn1_rn2,solvent_code,signed-geometry,other,0.017310302704572678,0.034620605409145355,6,6
geo:signed_tetra_volume,3D_Sphero,signed-geometry,other,0.016095707193017006,0.03219141438603401,7,7
geo:baseline_pm_dihedral_sin,geo:subst_to_ringplane_signed_dist,signed-geometry,signed-geometry,0.015393818728625774,0.03078763745725155,8,8
geo:signed_tetra_volume,MACCS_129,signed-geometry,other,0.015048054046928883,0.030096108093857765,9,9
geo:signed_tetra_volume,geo:signed_dihedral_NS_path,signed-geometry,signed-geometry,0.014714762568473816,0.029429525136947632,10,10
geo:signed_tetra_volume,sPAS_10,signed-geometry,other,0.013373048976063728,0.026746097952127457,11,11
geo:baseline_pm_dihedral_sin,PAS_15,signed-geometry,other,0.013157513923943043,0.026315027847886086,12,12
geo:signed_dihedral_subst_c_rn1_rn2,geo:baseline_pm_dihedral_cos,signed-geometry,signed-geometry,0.013023745268583298,0.026047490537166595,13,13
geo:signed_tetra_volume,geo:signed_dihedral_subst_c_rn1_rn2,signed-geometry,signed-geometry,0.012108858674764633,0.024217717349529266,14,14
geo:baseline_pm_dihedral_sin,PAS_10,signed-geometry,other,0.011470280587673187,0.022940561175346375,15,15
ECFP_1412,PAS_15,other,other,0.011344032362103462,0.022688064724206924,16,16
geo:signed_tetra_volume,PAS_15,signed-geometry,other,0.011040502227842808,0.022081004455685616,17,17
geo:signed_tetra_volume,geo:baseline_pm_dihedral_sin,signed-geometry,signed-geometry,0.010806398466229439,0.021612796932458878,18,18
geo:baseline_pm_dihedral_sin,geo:baseline_pm_dihedral_cos,signed-geometry,signed-geometry,0.010754086077213287,0.021508172154426575,19,19
ECFP_1412,PAS_10,other,other,0.010488796979188919,0.020977593958377838,20,20
dihedral,sPAS_10,signed-geometry,other,0.009864963591098785,0.01972992718219757,21,21
geo:signed_tetra_volume,PAS_10,signed-geometry,other,0.009467187337577343,0.018934374675154686,22,22
geo:signed_tetra_volume,solvent_code,signed-geometry,other,0.0093546686694026,0.0187093373388052,23,23
geo:baseline_pm_dihedral_sin,sPAS_0,signed-geometry,other,0.009205657988786697,0.018411315977573395,24,24
geo:signed_tetra_volume,dihedral,signed-geometry,signed-geometry,0.009074592962861061,0.018149185925722122,25,25
ECFP_1412,sPAS_10,other,other,0.00897211953997612,0.01794423907995224,26,26
ECFP_1412,geo:baseline_pm_dihedral_sin,other,signed-geometry,0.00877185445278883,0.01754370890557766,27,27
dihedral,3D_RoG,signed-geometry,other,0.008661465719342232,0.017322931438684464,28,28
dihedral,sPAS_0,signed-geometry,other,0.008406593464314938,0.016813186928629875,29,29
geo:signed_dihedral_subst_c_rn1_rn2,3D_Sphero,signed-geometry,other,0.008372437208890915,0.01674487441778183,30,30
geo:signed_dihedral_NS_path,TPSA,signed-geometry,other,0.008153615519404411,0.016307231038808823,31,31
geo:signed_dihedral_subst_c_rn1_rn2,TPSA,signed-geometry,other,0.007990014739334583,0.015980029478669167,32,32
geo:signed_dihedral_subst_c_rn1_rn2,geo:baseline_pm_dihedral_sin,signed-geometry,signed-geometry,0.007814129814505577,0.015628259629011154,33,33
geo:baseline_pm_dihedral_sin,3D_RoG,signed-geometry,other,0.007742844521999359,0.015485689043998718,34,34
sPAS_0,ECFP_1465,other,other,0.007449451368302107,0.014898902736604214,35,35
geo:signed_tetra_volume,TPSA,signed-geometry,other,0.007409092038869858,0.014818184077739716,36,36
geo:signed_dihedral_subst_c_rn1_rn2,sPAS_10,signed-geometry,other,0.007398237474262714,0.014796474948525429,37,37
geo:signed_dihedral_subst_c_rn1_rn2,dihedral,signed-geometry,signed-geometry,0.0073336404748260975,0.014667280949652195,38,38
dihedral,geo:subst_to_ringplane_signed_dist,signed-geometry,signed-geometry,0.007182341534644365,0.01436468306928873,39,39
PAS_5,sPAS_10,other,other,0.0071265134029090405,0.014253026805818081,40,40
geo:signed_tetra_volume,geo:baseline_pm_dihedral_cos,signed-geometry,signed-geometry,0.007115229032933712,0.014230458065867424,41,41
dihedral,PAS_5,signed-geometry,other,0.007043946534395218,0.014087893068790436,42,42
geo:signed_dihedral_subst_c_rn1_rn2,geo:signed_dihedral_NS_path,signed-geometry,signed-geometry,0.007018462289124727,0.014036924578249454,43,43
geo:signed_dihedral_subst_c_rn1_rn2,3D_RoG,signed-geometry,other,0.006522944197058678,0.013045888394117355,44,44
geo:signed_dihedral_NS_path,sPAS_0,signed-geometry,other,0.0063316309824585915,0.012663261964917183,45,45
dihedral,TPSA,signed-geometry,other,0.006296505220234394,0.012593010440468788,46,46
geo:signed_dihedral_subst_c_rn1_rn2,sPAS_0,signed-geometry,other,0.006287714466452599,0.012575428932905197,47,47
geo:signed_tetra_volume,sPAS_0,signed-geometry,other,0.00624760240316391,0.01249520480632782,48,48
geo:baseline_pm_dihedral_sin,sPAS_10,signed-geometry,other,0.006107579451054335,0.01221515890210867,49,49
ECFP_1412,sPAS_0,other,other,0.006061924621462822,0.012123849242925644,50,50
geo:baseline_pm_dihedral_sin,PAS_5,signed-geometry,other,0.006030513904988766,0.012061027809977531,51,51
3D_Sphero,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.005948939360678196,0.011897878721356392,52,52
dihedral,3D_Sphero,signed-geometry,other,0.005850411020219326,0.011700822040438652,53,53
sPAS_0,TPSA,other,other,0.005731317214667797,0.011462634429335594,54,54
3D_Sphero,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.005729811731725931,0.011459623463451862,55,55
geo:signed_tetra_volume,3D_RoG,signed-geometry,other,0.0057290103286504745,0.011458020657300949,56,56
geo:baseline_pm_dihedral_sin,3D_Sphero,signed-geometry,other,0.005692036356776953,0.011384072713553905,57,57
geo:signed_dihedral_NS_path,3D_Sphero,signed-geometry,other,0.0056882016360759735,0.011376403272151947,58,58
3D_Sphero,TPSA,other,other,0.005649025086313486,0.011298050172626972,59,59
geo:signed_dihedral_subst_c_rn1_rn2,PAS_10,signed-geometry,other,0.0055909897200763226,0.011181979440152645,60,60
geo:signed_dihedral_NS_path,geo:subst_to_ringplane_signed_dist,signed-geometry,signed-geometry,0.0055727846920490265,0.011145569384098053,61,61
dihedral,PAS_10,signed-geometry,other,0.0055602118372917175,0.011120423674583435,62,62
geo:baseline_pm_dihedral_sin,TPSA,signed-geometry,other,0.005411273799836636,0.010822547599673271,63,63
geo:signed_dihedral_NS_path,PAS_15,signed-geometry,other,0.0054073696956038475,0.010814739391207695,64,64
PAS_5,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.005095471628010273,0.010190943256020546,65,65
3D_Sphero,PAS_5,other,other,0.005062413401901722,0.010124826803803444,66,66
sPAS_0,3D_RoG,other,other,0.005014821887016296,0.010029643774032593,67,67
3D_Sphero,solvent_code,other,other,0.00497618829831481,0.00995237659662962,68,68
geo:signed_dihedral_NS_path,solvent_code,signed-geometry,other,0.004845843650400639,0.009691687300801277,69,69
dihedral,geo:baseline_pm_dihedral_cos,signed-geometry,signed-geometry,0.004708945285528898,0.009417890571057796,70,70
PAS_5,3D_RoG,other,other,0.004557406064122915,0.00911481212824583,71,71
geo:signed_dihedral_subst_c_rn1_rn2,geo:subst_to_ringplane_signed_dist,signed-geometry,signed-geometry,0.004430381581187248,0.008860763162374496,72,72
geo:signed_dihedral_NS_path,sPAS_10,signed-geometry,other,0.004177889320999384,0.008355778641998768,73,73
geo:signed_dihedral_NS_path,PAS_5,signed-geometry,other,0.004111538175493479,0.008223076350986958,74,74
PAS_5,PAS_10,other,other,0.004095891956239939,0.008191783912479877,75,75
geo:signed_dihedral_subst_c_rn1_rn2,PAS_15,signed-geometry,other,0.004058580379933119,0.008117160759866238,76,76
geo:signed_dihedral_subst_c_rn1_rn2,PAS_5,signed-geometry,other,0.0038367866072803736,0.007673573214560747,77,77
3D_Sphero,3D_RoG,other,other,0.0037730811163783073,0.007546162232756615,78,78
sPAS_0,sPAS_10,other,other,0.0037301371339708567,0.007460274267941713,79,79
PAS_5,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.003725254675373435,0.00745050935074687,80,80
geo:signed_dihedral_NS_path,PAS_10,signed-geometry,other,0.0036624199710786343,0.0073248399421572685,81,81
ECFP_1412,dihedral,other,signed-geometry,0.0036552115343511105,0.007310423068702221,82,82
sPAS_0,PAS_5,other,other,0.0036483414005488157,0.0072966828010976315,83,83
3D_Sphero,sPAS_10,other,other,0.0036203255876898766,0.007240651175379753,84,84
sPAS_10,3D_RoG,other,other,0.003591163782402873,0.007182327564805746,85,85
sPAS_0,3D_Sphero,other,other,0.003590706270188093,0.007181412540376186,86,86
solvent_code,TPSA,other,other,0.0035743005573749542,0.0071486011147499084,87,87
sPAS_10,TPSA,other,other,0.0035179618280380964,0.007035923656076193,88,88
dihedral,PAS_15,signed-geometry,other,0.0031520866323262453,0.006304173264652491,89,89
TPSA,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.003151062410324812,0.006302124820649624,90,90
PAS_5,solvent_code,other,other,0.0031395405530929565,0.006279081106185913,91,91
geo:signed_dihedral_NS_path,geo:baseline_pm_dihedral_cos,signed-geometry,signed-geometry,0.0030901827849447727,0.0061803655698895454,92,92
geo:baseline_pm_dihedral_sin,MACCS_129,signed-geometry,other,0.003049838123843074,0.006099676247686148,93,93
dihedral,MACCS_129,signed-geometry,other,0.0030341532547026873,0.0060683065094053745,94,94
sPAS_10,PAS_15,other,other,0.0029640523716807365,0.005928104743361473,95,95
3D_RoG,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.0029342398047447205,0.005868479609489441,96,96
dihedral,geo:signed_dihedral_NS_path,signed-geometry,signed-geometry,0.002927398541942239,0.005854797083884478,97,97
solvent_code,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.0028422328177839518,0.0056844656355679035,98,98
solvent_code,PAS_10,other,other,0.002801252296194434,0.005602504592388868,99,99
sPAS_10,ECFP_492,other,other,0.0027154590934515,0.005430918186903,100,100
ECFP_1412,geo:signed_dihedral_subst_c_rn1_rn2,other,signed-geometry,0.002667076652869582,0.005334153305739164,101,101
PAS_5,TPSA,other,other,0.0026603112928569317,0.005320622585713863,102,102
sPAS_0,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.0026173805817961693,0.0052347611635923386,103,103
geo:baseline_pm_dihedral_sin,geo:signed_dihedral_NS_path,signed-geometry,signed-geometry,0.0026017003692686558,0.0052034007385373116,104,104
dihedral,solvent_code,signed-geometry,other,0.0025902281049638987,0.005180456209927797,105,105
PAS_15,3D_RoG,other,other,0.0025746054016053677,0.005149210803210735,106,106
sPAS_10,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.0025044374633580446,0.005008874926716089,107,107
PAS_10,sPAS_10,other,other,0.002494419924914837,0.004988839849829674,108,108
sPAS_10,ECFP_1465,other,other,0.0024830717593431473,0.0049661435186862946,109,109
geo:baseline_pm_dihedral_cos,geo:subst_to_ringplane_signed_dist,signed-geometry,signed-geometry,0.0024689079727977514,0.004937815945595503,110,110
MACCS_129,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.0023074010387063026,0.004614802077412605,111,111
sPAS_10,MACCS_129,other,other,0.002296112012118101,0.004592224024236202,112,112
TPSA,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.00227827369235456,0.00455654738470912,113,113
PAS_10,TPSA,other,other,0.0022535515017807484,0.004507103003561497,114,114
sPAS_0,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.0021847584284842014,0.004369516856968403,115,115
ECFP_1412,3D_RoG,other,other,0.002152780769392848,0.004305561538785696,116,116
3D_RoG,TPSA,other,other,0.0020603006705641747,0.004120601341128349,117,117
sPAS_10,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.0020308971870690584,0.004061794374138117,118,118
geo:baseline_pm_dihedral_sin,ECFP_1465,signed-geometry,other,0.002030319068580866,0.004060638137161732,119,119
PAS_10,3D_RoG,other,other,0.0020044022239744663,0.004008804447948933,120,120
ECFP_1412,solvent_code,other,other,0.002001243643462658,0.004002487286925316,121,121
solvent_code,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.0019199528032913804,0.003839905606582761,122,122
solvent_code,sPAS_10,other,other,0.0019105675164610147,0.0038211350329220295,123,123
geo:signed_dihedral_NS_path,MACCS_129,signed-geometry,other,0.0018919655121862888,0.0037839310243725777,124,124
ECFP_1412,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.001885872450657189,0.003771744901314378,125,125
solvent_code,3D_RoG,other,other,0.0018575206631794572,0.0037150413263589144,126,126
sPAS_0,PAS_10,other,other,0.0018540312303230166,0.0037080624606460333,127,127
PAS_15,TPSA,other,other,0.0017094501527026296,0.003418900305405259,128,128
PAS_10,ECFP_492,other,other,0.0016985838301479816,0.0033971676602959633,129,129
geo:signed_tetra_volume,ECFP_1465,signed-geometry,other,0.0016924988012760878,0.0033849976025521755,130,130
3D_Sphero,PAS_15,other,other,0.0016288652550429106,0.003257730510085821,131,131
ECFP_1412,3D_Sphero,other,other,0.0015461496077477932,0.0030922992154955864,132,132
ECFP_1412,ECFP_1465,other,other,0.0015137344598770142,0.0030274689197540283,133,133
ECFP_1412,geo:signed_dihedral_NS_path,other,signed-geometry,0.0014995854580774903,0.0029991709161549807,134,134
3D_Sphero,ECFP_1465,other,other,0.0014890377642586827,0.0029780755285173655,135,135
sPAS_0,solvent_code,other,other,0.0014607443008571863,0.0029214886017143726,136,136
3D_Sphero,MACCS_129,other,other,0.0013882025377824903,0.0027764050755649805,137,137
geo:baseline_pm_dihedral_sin,solvent_code,signed-geometry,other,0.0013554692268371582,0.0027109384536743164,138,138
geo:signed_dihedral_NS_path,3D_RoG,signed-geometry,other,0.0012848956976085901,0.0025697913952171803,139,139
geo:signed_dihedral_subst_c_rn1_rn2,ECFP_492,signed-geometry,other,0.0011962112039327621,0.0023924224078655243,140,140
3D_RoG,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.0011748826364055276,0.002349765272811055,141,141
3D_Sphero,PAS_10,other,other,0.0011650207452476025,0.002330041490495205,142,142
PAS_15,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.0011386789847165346,0.0022773579694330692,143,143
PAS_5,ECFP_1465,other,other,0.0011194006074219942,0.0022388012148439884,144,144
ECFP_1412,TPSA,other,other,0.0010914923623204231,0.0021829847246408463,145,145
ECFP_492,TPSA,other,other,0.0010190880857408047,0.0020381761714816093,146,146
solvent_code,MACCS_129,other,other,0.0009056141134351492,0.0018112282268702984,147,147
geo:baseline_pm_dihedral_sin,ECFP_492,signed-geometry,other,0.0008587520569562912,0.0017175041139125824,148,148
solvent_code,ECFP_492,other,other,0.0008209763327613473,0.0016419526655226946,149,149
PAS_15,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.00080355245154351,0.00160710490308702,150,150
3D_Sphero,ECFP_492,other,other,0.0007891572895459831,0.0015783145790919662,151,151
MACCS_129,TPSA,other,other,0.0007741897134110332,0.0015483794268220663,152,152
PAS_5,ECFP_492,other,other,0.0006986010121181607,0.0013972020242363214,153,153
geo:signed_tetra_volume,ECFP_492,signed-geometry,other,0.0006314483471214771,0.0012628966942429543,154,154
PAS_10,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.0006293035112321377,0.0012586070224642754,155,155
MACCS_129,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.0006197564653120935,0.001239512930624187,156,156
solvent_code,PAS_15,other,other,0.0006178426556289196,0.0012356853112578392,157,157
PAS_5,PAS_15,other,other,0.0006064281333237886,0.0012128562666475773,158,158
ECFP_1412,ECFP_492,other,other,0.0005838293582201004,0.0011676587164402008,159,159
ECFP_1465,3D_RoG,other,other,0.0005568210035562515,0.001113642007112503,160,160
geo:baseline_pm_dihedral_sin,dihedral,signed-geometry,signed-geometry,0.0005370631697587669,0.0010741263395175338,161,161
geo:signed_dihedral_NS_path,ECFP_492,signed-geometry,other,0.0005019856616854668,0.0010039713233709335,162,162
sPAS_0,MACCS_129,other,other,0.00039287147228606045,0.0007857429445721209,163,163
ECFP_1465,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.00037172710290178657,0.0007434542058035731,164,164
ECFP_1465,TPSA,other,other,0.00034524977672845125,0.0006904995534569025,165,165
PAS_10,MACCS_129,other,other,0.00032592815114185214,0.0006518563022837043,166,166
geo:signed_dihedral_subst_c_rn1_rn2,ECFP_1465,signed-geometry,other,0.0003246445849072188,0.0006492891698144376,167,167
dihedral,ECFP_1465,signed-geometry,other,0.0002962565631605685,0.000592513126321137,168,168
MACCS_129,3D_RoG,other,other,0.0002559575659688562,0.0005119151319377124,169,169
sPAS_0,PAS_15,other,other,0.00019177229842171073,0.00038354459684342146,170,170
geo:signed_dihedral_NS_path,ECFP_1465,signed-geometry,other,0.00016065996896941215,0.0003213199379388243,171,171
ECFP_492,3D_RoG,other,other,0.00015191250713542104,0.0003038250142708421,172,172
PAS_10,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.00014545305748470128,0.00029090611496940255,173,173
ECFP_492,geo:subst_to_ringplane_signed_dist,other,signed-geometry,8.26388131827116e-05,0.0001652776263654232,174,174
PAS_5,MACCS_129,other,other,2.3464270270778798e-05,4.6928540541557595e-05,175,175
PAS_10,ECFP_1465,other,other,9.835285709414165e-06,1.967057141882833e-05,176,176
PAS_15,MACCS_129,other,other,0.0,0.0,183,183
ECFP_1412,MACCS_129,other,other,0.0,0.0,183,183
ECFP_492,geo:baseline_pm_dihedral_cos,other,signed-geometry,0.0,0.0,183,183
PAS_15,ECFP_492,other,other,0.0,0.0,183,183
MACCS_129,ECFP_1465,other,other,0.0,0.0,183,183
sPAS_0,ECFP_492,other,other,0.0,0.0,183,183
PAS_10,PAS_15,other,other,0.0,0.0,183,183
ECFP_1465,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.0,0.0,183,183
solvent_code,ECFP_1465,other,other,0.0,0.0,183,183
ECFP_1412,geo:subst_to_ringplane_signed_dist,other,signed-geometry,0.0,0.0,183,183
PAS_15,ECFP_1465,other,other,0.0,0.0,183,183
dihedral,ECFP_492,signed-geometry,other,0.0,0.0,183,183
ECFP_492,ECFP_1465,other,other,0.0,0.0,183,183
MACCS_129,ECFP_492,other,other,0.0,0.0,183,183
