subset_name,observation_id,fold,observed_class
seed42_ref,4965,0,0
seed42_ref,189,0,0
seed42_ref,1668,0,0
seed42_ref,1701,0,0
seed42_ref,937,0,0
seed42_ref,1782,0,0
seed42_ref,2311,0,0
seed42_ref,3438,0,0
seed42_ref,4439,0,0
seed42_ref,739,1,0
seed42_ref,4855,1,0
seed42_ref,1607,1,0
seed42_ref,3490,1,0
seed42_ref,1318,1,0
seed42_ref,4778,1,0
seed42_ref,4611,1,0
seed42_ref,3222,1,0
seed42_ref,3654,1,0
seed42_ref,953,2,0
seed42_ref,4973,2,0
seed42_ref,1953,2,0
seed42_ref,3804,2,0
seed42_ref,1655,2,0
seed42_ref,2976,2,0
seed42_ref,4682,2,0
seed42_ref,3583,2,0
seed42_ref,4564,2,0
seed42_ref,1899,3,0
seed42_ref,4014,3,0
seed42_ref,710,3,0
seed42_ref,3837,3,0
seed42_ref,358,3,0
seed42_ref,2584,3,0
seed42_ref,3525,3,0
seed42_ref,3651,3,0
seed42_ref,1719,3,0
seed42_ref,4557,4,0
seed42_ref,2319,4,0
seed42_ref,2265,4,0
seed42_ref,1396,4,0
seed42_ref,1313,0,1
seed42_ref,4451,0,1
seed42_ref,5145,0,1
seed42_ref,232,0,1
seed42_ref,2273,0,1
seed42_ref,979,0,1
seed42_ref,845,0,1
seed42_ref,3005,1,1
seed42_ref,3415,1,1
seed42_ref,1656,1,1
seed42_ref,4253,1,1
seed42_ref,245,1,1
seed42_ref,2433,1,1
seed42_ref,3940,1,1
seed42_ref,4763,2,1
seed42_ref,5147,2,1
seed42_ref,2894,2,1
seed42_ref,3966,2,1
seed42_ref,494,2,1
seed42_ref,2239,2,1
seed42_ref,3511,2,1
seed42_ref,434,3,1
seed42_ref,28,3,1
seed42_ref,2607,3,1
seed42_ref,4468,3,1
seed42_ref,4064,3,1
seed42_ref,3380,3,1
seed42_ref,3809,3,1
seed42_ref,3211,0,0
seed42_ref,4499,0,0
seed42_ref,1928,0,0
seed42_ref,88,0,0
seed42_ref,3975,0,0
seed42_ref,3814,0,0
seed42_ref,3046,0,0
seed42_ref,1463,0,0
seed42_ref,4862,1,0
seed42_ref,2240,1,0
seed42_ref,1227,1,0
seed42_ref,1184,1,0
seed42_ref,4519,1,0
seed42_ref,129,1,0
seed42_ref,565,1,0
seed42_ref,4929,1,0
seed42_ref,4788,2,0
seed42_ref,91,2,0
seed42_ref,600,2,0
seed42_ref,618,2,0
seed42_ref,206,2,0
seed42_ref,628,2,0
seed42_ref,1035,2,0
seed42_ref,2577,2,0
seed42_ref,4786,3,0
seed42_ref,107,3,0
seed42_ref,942,3,0
seed42_ref,984,3,0
seed42_ref,389,3,0
seed42_ref,1030,3,0
seed42_ref,1438,3,0
seed42_ref,2869,3,0
seed42_ref,297,4,0
seed42_ref,51,4,0
seed42_ref,2051,4,0
seed42_ref,5053,4,0
seed42_ref,4634,4,0
seed42_ref,3610,0,1
seed42_ref,400,0,1
seed42_ref,3984,0,1
seed42_ref,2674,0,1
seed42_ref,2080,0,1
seed42_ref,3960,0,1
seed42_ref,779,1,1
seed42_ref,1743,1,1
seed42_ref,4001,1,1
seed42_ref,1292,1,1
seed42_ref,2482,1,1
seed42_ref,725,1,1
seed42_ref,4379,2,1
seed42_ref,3939,2,1
seed42_ref,4310,2,1
seed42_ref,2714,2,1
seed42_ref,3563,2,1
seed42_ref,1584,2,1
seed42_ref,405,3,1
seed42_ref,1151,3,1
seed42_ref,4080,3,1
seed42_ref,2830,3,1
seed42_ref,3951,3,1
