Rule ID,Structural rule,n,OR+,OR-,Empirical directional consistency (%),Predominant direction
R01,Aryl0_Sub_C_Ring_C-O,1686,502,1184,70.2,OR-
R02,Aryl0_Sub_C_Ring_C-N,1326,559,767,57.8,OR-
R03,Aryl0_Sub_C_Ring_C-C,780,369,411,52.7,OR-
R04,Aryl0_Sub_N_Ring_C-C,314,112,202,64.3,OR-
R05,Salt_Aryl0_Sub_N_Ring_C-C,275,130,145,52.7,OR-
R06,Aryl0_Sub_O_Ring_C-C,196,117,79,59.7,OR+
R07,Salt_Aryl0_Sub_C_Ring_C-O,134,61,73,54.5,OR-
R08,Aryl1_Sub_C_Ring_C-N,43,5,38,88.4,OR-
R09,Aryl1_Sub_C_Ring_C-C,41,26,15,63.4,OR+
R10,Aryl2_Sub_C_Ring_C-N,37,3,34,91.9,OR-
R11,Aryl2_Sub_N_Ring_C-C,37,11,26,70.3,OR-
R12,Aryl2_Sub_C_Ring_C-O,34,15,19,55.9,OR-
R13,Aryl0_Sub_C_Ring_C-S,33,5,28,84.8,OR-
R14,Salt_Aryl0_Sub_O_Ring_C-C,28,10,18,64.3,OR-
R15,Salt_Aryl2_Sub_N_Ring_C-C,26,21,5,80.8,OR+
R16,Aryl0_Sub_C_Ring_N-N,24,24,0,100.0,OR+
R17,Salt_Aryl2_Sub_O_Ring_C-C,22,4,18,81.8,OR-
R18,Aryl0_Sub_S_Ring_C-C,21,20,1,95.2,OR+
R19,Salt_Aryl0_Sub_C_Ring_C-N,20,8,12,60.0,OR-
R20,Aryl2_Sub_O_Ring_C-C,19,2,17,89.5,OR-
R21,Aryl1_Sub_C_Ring_C-S,17,9,8,52.9,OR+
R22,Salt_Aryl0_Sub_C_Ring_C-C,17,8,9,52.9,OR-
R23,Aryl0_Sub_Halogen_Ring_C-C,15,15,0,100.0,OR+
R24,Salt_Aryl1_Sub_N_Ring_C-C,14,5,9,64.3,OR-
R25,Aryl1_Sub_C_Ring_C-O,7,3,4,57.1,OR-
R26,Aryl1_Sub_N_Ring_C-C,6,4,2,66.7,OR+
R27,Aryl2_Sub_C_Ring_C-C,6,4,2,66.7,OR+
R28,Salt_Aryl2_Sub_C_Ring_C-O,6,3,3,50.0,OR+
R29,Salt_Aryl2_Sub_C_Ring_C-C,4,2,2,50.0,OR+
R30,Aryl0_Sub_C_Ring_N-O,3,0,3,100.0,OR-
R31,Aryl0_Sub_C_Ring_O-S,2,1,1,50.0,OR+
R32,Aryl0_Sub_C_Ring_S-S,2,1,1,50.0,OR+
R33,Aryl0_Sub_N_Ring_C-O,1,0,1,100.0,OR-
R34,Aryl0_Sub_O_Ring_C-O,1,0,1,100.0,OR-
R35,Aryl0_Sub_Other_Ring_C-C,1,0,1,100.0,OR-
R36,Aryl1_Sub_S_Ring_C-C,1,1,0,100.0,OR+
R37,Aryl2_Sub_S_Ring_C-C,1,1,0,100.0,OR+
R38,Salt_Aryl0_Sub_C_Ring_N-N,1,1,0,100.0,OR+
R39,Salt_Aryl0_Sub_Halogen_Ring_C-C,1,1,0,100.0,OR+
R40,Salt_Aryl0_Sub_Unknown_Ring_C-C,1,0,1,100.0,OR-
R41,Salt_Aryl2_Sub_C_Ring_C-N,1,0,1,100.0,OR-
