feature,group_balanced_mean_abs_shap,rank
geo:signed_tetra_volume,0.4108688166742282,1
ECFP_1412,0.21089952015014185,2
geo:signed_dihedral_subst_c_rn1_rn2,0.15450492866882123,3
geo:baseline_pm_dihedral_sin,0.151261389828701,4
geo:signed_dihedral_NS_path,0.09663158015887735,5
dihedral,0.09570796353295807,6
sPAS_0,0.08186469486696003,7
3D_Sphero,0.07667127000384177,8
PAS_5,0.0754777370893375,9
solvent_code,0.07528386701554221,10
sPAS_10,0.0727991345328478,11
PAS_10,0.0714450072910545,12
PAS_15,0.06194478256360544,13
MACCS_129,0.057116470712584314,14
ECFP_1342,0.054807862938994506,15
3D_RoG,0.05329471265639247,16
geo:baseline_pm_dihedral_cos,0.05304238451615309,17
ECFP_429,0.05250551058076842,18
ECFP_1465,0.05247268705096441,19
TPSA,0.052382626788383915,20
geo:subst_to_ringplane_signed_dist,0.05200299257333669,21
ECFP_492,0.051552599487885334,22
3D_Ecc,0.04965758836758515,23
MolLogP,0.048842417665643435,24
sPAS_5,0.045556767096145444,25
geo:ringnormal_dot_substvec,0.04544815292345268,26
3D_NPR2,0.042661180946927765,27
3D_NPR1,0.04260085412431768,28
ECFP_1419,0.0424773754593199,29
MolWt,0.03873974158448472,30
ECFP_373,0.03672446394525558,31
MACCS_62,0.036699409590054265,32
3D_Asph,0.03601045895312052,33
PAS_0,0.03519211527209064,34
3D_ISF,0.03515135861540335,35
3D_PMI3,0.03506649369255996,36
ECFP_1691,0.03457483813968242,37
3D_PMI2,0.03341785531376079,38
sPAS_15,0.03304258023933239,39
ECFP_1359,0.032404136306221756,40
3D_PMI1,0.031161249405934517,41
MACCS_118,0.0278478230472707,42
ECFP_1483,0.027639130070571234,43
ECFP_1575,0.026823236337694772,44
ECFP_1325,0.026413653274315985,45
pm_code,0.026055952387011624,46
ECFP_1214,0.024260925752359868,47
ECFP_861,0.02413735445598901,48
ECFP_1279,0.024094787303865075,49
ECFP_36,0.024073516072071862,50
ECFP_301,0.023979796353897586,51
MACCS_128,0.023890617909489733,52
ECFP_762,0.023709518829189057,53
ECFP_1464,0.023450400086498215,54
ECFP_1216,0.023291235186034508,55
ECFP_445,0.02309212666595037,56
ECFP_1935,0.023030725323862525,57
ECFP_937,0.02263006631392746,58
MACCS_150,0.022473949467206225,59
ECFP_1749,0.02242736384683243,60
ECFP_1844,0.021524175489536078,61
ECFP_1832,0.021192229061731495,62
ECFP_83,0.02021163466751516,63
MACCS_125,0.019848192645705965,64
MACCS_82,0.019688346808657275,65
MACCS_57,0.019492127303146457,66
ECFP_1114,0.019267689796793976,67
NumRotBonds,0.019044073590905045,68
ECFP_231,0.018655146947379277,69
ECFP_1772,0.018503343567804836,70
NumAromRings,0.018396974203929755,71
MACCS_79,0.018133701546229192,72
MACCS_120,0.01806159308022875,73
ECFP_981,0.017967356374453743,74
NumHDonors,0.01794678544291383,75
ECFP_1765,0.017699803154413742,76
ECFP_1776,0.01739651780873932,77
RingCount,0.01722633262652476,78
ECFP_771,0.017177895595855395,79
ECFP_1881,0.01708674588705513,80
ECFP_656,0.016987435898904377,81
ECFP_357,0.016874409192407323,82
ECFP_1396,0.016614674069396956,83
PAS_6,0.01642231385299757,84
ECFP_82,0.016410708065427604,85
ECFP_1321,0.015486174767783533,86
ECFP_1696,0.014939133505373875,87
ECFP_1853,0.014602533738155588,88
ECFP_1437,0.014555173870821078,89
ECFP_1137,0.014389549504280959,90
