subset_name,rank,feature_1,feature_2,mean_abs_interaction
seed42_ref,1,MACCS_129,geo:signed_dihedral_subst_c_rn1_rn2,0.04656188189983368
seed42_ref,2,geo:signed_tetra_volume,geo:subst_to_ringplane_signed_dist,0.026993732899427414
seed42_ref,3,ECFP_1412,PAS_5,0.023471923545002937
seed42_ref,4,MACCS_62,geo:signed_tetra_volume,0.022931648418307304
seed42_ref,5,PAS_5,geo:signed_tetra_volume,0.018890758976340294
seed42_ref,6,ECFP_1412,geo:signed_tetra_volume,0.018112294375896454
seed42_ref,7,solvent_code,geo:signed_dihedral_subst_c_rn1_rn2,0.017310304567217827
seed42_ref,8,3D_Sphero,geo:signed_tetra_volume,0.016095709055662155
seed42_ref,9,ECFP_1325,geo:signed_tetra_volume,0.015601523220539093
seed42_ref,10,geo:subst_to_ringplane_signed_dist,geo:baseline_pm_dihedral_sin,0.015393818728625774
seed42_ref,11,MACCS_118,geo:signed_tetra_volume,0.015065967105329037
seed42_ref,12,MACCS_129,geo:signed_tetra_volume,0.015048051252961159
seed42_ref,13,MACCS_128,geo:signed_dihedral_subst_c_rn1_rn2,0.014874892309308052
seed42_ref,14,geo:signed_tetra_volume,geo:signed_dihedral_NS_path,0.014714762568473816
seed42_ref,15,MACCS_125,geo:signed_tetra_volume,0.014353472739458084
seed42_ref,16,ECFP_1279,geo:signed_tetra_volume,0.013559062965214252
seed42_ref,17,sPAS_10,geo:signed_tetra_volume,0.013373049907386303
seed42_ref,18,PAS_15,geo:baseline_pm_dihedral_sin,0.013157511129975319
seed42_ref,19,geo:signed_dihedral_subst_c_rn1_rn2,geo:baseline_pm_dihedral_cos,0.013023747131228447
seed42_ref,20,ECFP_1047,geo:signed_tetra_volume,0.012323332950472832
seed42_ref,21,geo:signed_tetra_volume,geo:signed_dihedral_subst_c_rn1_rn2,0.012108858674764633
seed42_ref,22,geo:signed_tetra_volume,geo:ringnormal_dot_substvec,0.012033752165734768
seed42_ref,23,ECFP_1419,geo:baseline_pm_dihedral_sin,0.012024407275021076
seed42_ref,24,PAS_10,geo:baseline_pm_dihedral_sin,0.011470279656350613
seed42_ref,25,ECFP_1412,PAS_15,0.011344035156071186
seed42_ref,26,MolLogP,dihedral,0.011222012341022491
seed42_ref,27,PAS_15,geo:signed_tetra_volume,0.011040505021810532
seed42_ref,28,3D_Ecc,3D_Asph,0.01098538376390934
seed42_ref,29,MolLogP,geo:signed_tetra_volume,0.010870169848203659
seed42_ref,30,geo:signed_tetra_volume,geo:baseline_pm_dihedral_sin,0.010806399397552013
seed42_ref,31,geo:baseline_pm_dihedral_sin,geo:baseline_pm_dihedral_cos,0.010754087939858437
seed42_ref,32,ECFP_1412,PAS_10,0.010488796979188919
seed42_ref,33,3D_Sphero,geo:ringnormal_dot_substvec,0.010264669544994831
seed42_ref,34,sPAS_5,geo:signed_dihedral_NS_path,0.0102241775020957
seed42_ref,35,MACCS_147,geo:signed_tetra_volume,0.010159831494092941
seed42_ref,36,sPAS_10,dihedral,0.00986496452242136
seed42_ref,37,3D_NPR2,geo:signed_dihedral_NS_path,0.009611568413674831
seed42_ref,38,ECFP_1419,geo:signed_dihedral_subst_c_rn1_rn2,0.009510702453553677
seed42_ref,39,3D_PMI3,3D_RoG,0.009497642517089844
seed42_ref,40,PAS_10,geo:signed_tetra_volume,0.009467190131545067
seed42_ref,41,geo:ringnormal_dot_substvec,geo:baseline_pm_dihedral_sin,0.009445615112781525
seed42_ref,42,solvent_code,geo:signed_tetra_volume,0.009354670532047749
seed42_ref,43,3D_Ecc,geo:signed_tetra_volume,0.009295840747654438
seed42_ref,44,sPAS_0,geo:baseline_pm_dihedral_sin,0.009205658920109272
seed42_ref,45,dihedral,geo:signed_tetra_volume,0.009074591100215912
seed42_ref,46,ECFP_1412,sPAS_10,0.008972118608653545
seed42_ref,47,3D_NPR2,geo:signed_tetra_volume,0.008850114420056343
seed42_ref,48,ECFP_1412,geo:baseline_pm_dihedral_sin,0.008771855384111404
seed42_ref,49,3D_RoG,dihedral,0.008661465719342232
