pair,top10_freq,top20_freq,appear_in_n_new_seeds,mean_rank,median_rank,rank_sd,rank_iqr,mean_magnitude,magnitude_sd,seed42_rank,seed42_mag
MACCS_129 x geo:signed_dihedral_subst_c_rn1_rn2,5/5,5/5,5,1.0,1,0.0,0.0,0.044426,0.001706,1,0.046562
geo:signed_tetra_volume x geo:subst_to_ringplane_signed_dist,5/5,5/5,5,2.4,2,0.8,0.0,0.026171,0.001987,2,0.026994
ECFP_1412 x PAS_5,5/5,5/5,5,3.2,3,0.4,0.0,0.024109,0.001655,3,0.023472
MACCS_62 x geo:signed_tetra_volume,5/5,5/5,5,3.4,4,0.8,1.0,0.024014,0.001557,4,0.022932
geo:signed_dihedral_subst_c_rn1_rn2 x solvent_code,5/5,5/5,5,5.4,5,0.8,0.0,0.018702,0.000704,7,0.01731
MACCS_129 x geo:signed_tetra_volume,5/5,5/5,5,6.6,7,0.49,1.0,0.017437,0.001388,12,0.015048
ECFP_1412 x geo:signed_tetra_volume,5/5,5/5,5,7.0,6,1.26,2.0,0.017263,0.001256,6,0.018112
PAS_5 x geo:signed_tetra_volume,5/5,5/5,5,8.8,9,0.98,0.0,0.016128,0.000638,5,0.018891
3D_Sphero x geo:signed_tetra_volume,4/5,5/5,5,9.6,10,1.02,1.0,0.015574,0.000345,8,0.016096
geo:signed_tetra_volume x sPAS_10,3/5,5/5,5,10.6,10,2.65,4.0,0.015081,0.000901,17,0.013373
ECFP_1279 x geo:signed_tetra_volume,1/5,5/5,5,11.6,11,2.58,1.0,0.014802,0.000807,16,0.013559
MACCS_118 x geo:signed_tetra_volume,1/5,5/5,5,13.4,13,2.87,4.0,0.014389,0.0009,11,0.015066
ECFP_1047 x geo:signed_tetra_volume,1/5,3/5,5,19.6,17,10.5,17.0,0.013367,0.003659,20,0.012323
MACCS_128 x geo:signed_dihedral_subst_c_rn1_rn2,0/5,5/5,5,13.2,13,1.33,1.0,0.014194,0.000207,13,0.014875
MolLogP x dihedral,0/5,5/5,5,18.0,20,3.1,2.0,0.012908,0.000897,26,0.011222
ECFP_1412 x PAS_15,0/5,4/5,5,17.6,14,6.15,5.0,0.013344,0.001475,25,0.011344
geo:baseline_pm_dihedral_cos x geo:signed_dihedral_subst_c_rn1_rn2,0/5,4/5,5,19.0,18,2.61,2.0,0.012628,0.000699,19,0.013024
geo:signed_dihedral_NS_path x geo:signed_tetra_volume,0/5,3/5,5,17.8,16,3.12,5.0,0.012792,0.000733,14,0.014715
PAS_10 x geo:baseline_pm_dihedral_sin,0/5,3/5,5,18.4,19,3.44,6.0,0.012915,0.000967,24,0.01147
MACCS_125 x geo:signed_tetra_volume,0/5,3/5,5,19.8,19,2.48,3.0,0.0124,0.000822,15,0.014353
geo:baseline_pm_dihedral_sin x geo:subst_to_ringplane_signed_dist,0/5,3/5,5,20.2,20,5.42,8.0,0.012453,0.001255,10,0.015394
ECFP_1412 x PAS_10,0/5,2/5,5,20.2,22,3.19,5.0,0.012067,0.000767,32,0.010489
geo:signed_dihedral_subst_c_rn1_rn2 x geo:signed_tetra_volume,0/5,2/5,5,21.0,23,5.97,7.0,0.012247,0.001467,21,0.012109
geo:ringnormal_dot_substvec x geo:signed_tetra_volume,0/5,2/5,5,23.2,21,5.49,8.0,0.011545,0.000914,22,0.012034
geo:baseline_pm_dihedral_sin x geo:signed_tetra_volume,0/5,1/5,5,26.2,25,4.49,6.0,0.011107,0.000759,30,0.010806
ECFP_1325 x geo:signed_tetra_volume,0/5,0/5,5,25.6,26,1.85,1.0,0.011251,0.000441,9,0.015602
PAS_15 x geo:baseline_pm_dihedral_sin,0/5,0/5,5,29.8,25,8.21,10.0,0.010721,0.000992,18,0.013158
MolLogP x geo:signed_tetra_volume,0/5,0/5,5,30.0,29,6.26,4.0,0.010559,0.000636,29,0.01087
ECFP_242 x geo:signed_tetra_volume,0/5,0/5,2,32.5,32,1.5,1.5,0.010116,0.000157,62,0.007801
PAS_10 x geo:signed_tetra_volume,0/5,0/5,5,32.8,30,6.68,10.0,0.01019,0.000965,40,0.009467
ECFP_1412 x sPAS_10,0/5,0/5,5,33.4,33,4.27,6.0,0.009979,0.000679,46,0.008972
MolLogP x geo:baseline_pm_dihedral_sin,0/5,0/5,4,33.5,34,5.72,5.5,0.009923,0.000795,63,0.007744
3D_NPR2 x geo:signed_dihedral_NS_path,0/5,0/5,5,33.6,33,8.59,11.0,0.010132,0.000907,37,0.009612
geo:baseline_pm_dihedral_sin x sPAS_0,0/5,0/5,5,33.6,35,5.28,10.0,0.010157,0.000678,44,0.009206
ECFP_943 x PAS_5,0/5,0/5,1,34.0,34,0.0,0.0,0.009659,0.0,207,0.003898
3D_Asph x 3D_Ecc,0/5,0/5,4,35.0,34,5.24,6.5,0.009821,0.000416,28,0.010985
ECFP_1465 x sPAS_0,0/5,0/5,2,35.0,35,7.0,7.0,0.010065,0.000687,67,0.007449
dihedral x sPAS_10,0/5,0/5,5,35.2,38,8.38,7.0,0.010074,0.000952,36,0.009865
ECFP_1419 x geo:signed_dihedral_subst_c_rn1_rn2,0/5,0/5,2,35.5,35,8.5,8.5,0.010154,0.000956,38,0.009511
geo:signed_dihedral_NS_path x sPAS_5,0/5,0/5,5,35.8,32,5.15,6.0,0.00985,0.000611,34,0.010224
3D_Sphero x geo:signed_dihedral_subst_c_rn1_rn2,0/5,0/5,1,36.0,36,0.0,0.0,0.009854,0.0,55,0.008372
ECFP_1419 x geo:baseline_pm_dihedral_sin,0/5,0/5,5,36.8,37,2.32,2.0,0.009569,0.000269,23,0.012024
geo:signed_tetra_volume x solvent_code,0/5,0/5,4,37.5,37,6.73,5.5,0.009569,0.000887,42,0.009355
3D_NPR2 x geo:signed_tetra_volume,0/5,0/5,5,38.4,37,6.15,7.0,0.009407,0.000697,47,0.00885
ECFP_1412 x geo:baseline_pm_dihedral_sin,0/5,0/5,5,38.4,36,7.61,11.0,0.009371,0.000609,48,0.008772
ECFP_1114 x geo:signed_tetra_volume,0/5,0/5,1,40.0,40,0.0,0.0,0.009313,0.0,74,0.007258
PAS_15 x geo:signed_tetra_volume,0/5,0/5,4,40.0,43,8.4,9.0,0.009472,0.000956,27,0.011041
dihedral x geo:signed_tetra_volume,0/5,0/5,5,41.0,43,4.38,6.0,0.009263,0.000382,45,0.009075
MACCS_98 x geo:signed_tetra_volume,0/5,0/5,2,41.5,41,6.5,6.5,0.009214,0.000644,50,0.00858
3D_Ecc x geo:signed_tetra_volume,0/5,0/5,3,41.67,41,6.55,8.0,0.009226,0.000437,43,0.009296
MACCS_147 x geo:signed_tetra_volume,0/5,0/5,1,42.0,42,0.0,0.0,0.008871,0.0,35,0.01016
3D_NPR1 x geo:signed_tetra_volume,0/5,0/5,1,43.0,43,0.0,0.0,0.009108,0.0,81,0.00703
ECFP_1412 x ECFP_231,0/5,0/5,2,43.0,43,3.0,3.0,0.009099,7.2e-05,53,0.008478
dihedral x sPAS_5,0/5,0/5,1,43.0,43,0.0,0.0,0.009307,0.0,70,0.007408
geo:signed_tetra_volume x sPAS_5,0/5,0/5,3,43.0,44,3.74,4.5,0.009107,0.000455,92,0.006636
