molecule_group_id,n_observations,n_unique_folds,fold
MOL_000001,1,1,3
MOL_000002,1,1,1
MOL_000003,1,1,3
MOL_000004,1,1,5
MOL_000005,1,1,2
MOL_000006,1,1,4
MOL_000007,1,1,2
MOL_000008,1,1,1
MOL_000009,1,1,3
MOL_000010,1,1,2
MOL_000011,1,1,4
MOL_000012,1,1,5
MOL_000013,1,1,1
MOL_000014,1,1,2
MOL_000015,1,1,3
MOL_000016,1,1,4
MOL_000017,3,1,3
MOL_000018,1,1,5
MOL_000019,1,1,3
MOL_000020,1,1,1
MOL_000021,1,1,2
MOL_000022,1,1,4
MOL_000023,1,1,5
MOL_000024,1,1,1
MOL_000025,1,1,1
MOL_000026,4,1,2
MOL_000027,1,1,2
MOL_000028,5,1,3
MOL_000029,3,1,4
MOL_000030,1,1,5
MOL_000031,2,1,1
MOL_000032,3,1,2
MOL_000033,1,1,3
MOL_000034,1,1,4
MOL_000035,3,1,5
MOL_000036,1,1,5
MOL_000037,3,1,4
MOL_000038,3,1,1
MOL_000039,1,1,2
MOL_000040,2,1,3
MOL_000041,2,1,4
MOL_000042,3,1,4
MOL_000043,2,1,4
MOL_000044,3,1,3
MOL_000045,1,1,1
MOL_000046,4,1,4
MOL_000047,3,1,3
MOL_000048,3,1,2
MOL_000049,1,1,1
MOL_000050,2,1,3
MOL_000051,3,1,5
MOL_000052,1,1,1
MOL_000053,1,1,2
MOL_000054,1,1,3
MOL_000055,1,1,4
MOL_000056,1,1,5
MOL_000057,2,1,1
MOL_000058,1,1,2
MOL_000059,1,1,2
MOL_000060,1,1,5
MOL_000061,1,1,5
MOL_000062,1,1,3
MOL_000063,1,1,4
MOL_000064,1,1,4
MOL_000065,1,1,3
MOL_000066,1,1,1
MOL_000067,1,1,4
MOL_000068,1,1,2
MOL_000069,1,1,1
MOL_000070,1,1,5
MOL_000071,1,1,1
MOL_000072,1,1,5
MOL_000073,1,1,3
MOL_000074,1,1,1
MOL_000075,1,1,4
MOL_000076,1,1,5
MOL_000077,1,1,5
MOL_000078,1,1,2
MOL_000079,1,1,1
MOL_000080,1,1,2
MOL_000081,1,1,3
MOL_000082,1,1,4
MOL_000083,1,1,5
MOL_000084,2,1,2
MOL_000085,2,1,1
MOL_000086,1,1,2
MOL_000087,1,1,3
MOL_000088,1,1,1
MOL_000089,1,1,4
MOL_000090,1,1,3
MOL_000091,1,1,5
MOL_000092,1,1,1
MOL_000093,3,1,4
MOL_000094,2,1,2
MOL_000095,1,1,3
MOL_000096,1,1,5
MOL_000097,4,1,2
MOL_000098,2,1,1
MOL_000099,1,1,3
MOL_000100,1,1,4
MOL_000101,2,1,3
MOL_000102,1,1,4
MOL_000103,1,1,5
MOL_000104,1,1,5
