split,seed,train_n,test_n,train_scaffolds,test_scaffolds,auc,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,f1,mcc,brier_score,tn,fp,fn,tp
1,42,3620,1584,603,106,0.869723804289193,0.8244949494949495,0.7994615961869302,0.8058252427184466,0.6998313659359191,0.6998313659359191,0.8990918264379415,0.7490974729241877,0.618789360192644,0.12973261949981044,891,100,178,415
2,142,4118,1086,529,180,0.7680756821405723,0.7044198895027625,0.6867994325925514,0.6760925449871465,0.574235807860262,0.574235807860262,0.7993630573248408,0.6210153482880756,0.38479278435466585,0.20284652632210504,502,126,195,263
3,242,3854,1350,619,90,0.7754702148890745,0.7718518518518519,0.6994308688387636,0.5494186046511628,0.5526315789473685,0.5526315789473685,0.8462301587301587,0.5510204081632653,0.3980956979754557,0.15943208575603693,853,155,153,189
4,342,4160,1044,605,104,0.7013345286885246,0.7701149425287356,0.6434938524590164,0.5103092783505154,0.4057377049180328,0.4057377049180328,0.88125,0.4520547945205479,0.31224311435020596,0.16937511932207341,705,95,145,99
5,442,3698,1506,494,215,0.7756949748526467,0.7164674634794157,0.7154061765935064,0.6561151079136691,0.7080745341614907,0.7080745341614907,0.722737819025522,0.6811053024645257,0.4275450523371412,0.20132184144221077,623,239,188,456
6,542,4164,1040,597,112,0.8592063492063493,0.7730769230769231,0.748393341076268,0.752906976744186,0.6317073170731707,0.6317073170731707,0.8650793650793651,0.6870026525198939,0.5159983427164625,0.14734196123331564,545,85,151,259
7,642,3874,1330,598,111,0.7949355670103093,0.8007518796992481,0.7131729667812142,0.6690391459074733,0.5222222222222223,0.5222222222222223,0.9041237113402062,0.5865834633385335,0.4640431204717179,0.14918624506966124,877,93,172,188
8,742,4164,1040,540,169,0.7822838928285811,0.7365384615384616,0.723846739867874,0.706766917293233,0.642369020501139,0.642369020501139,0.8053244592346089,0.6730310262529833,0.454710311483375,0.18667255894080353,484,117,157,282
9,842,4139,1065,636,73,0.7923998183675786,0.8018779342723005,0.7205611393941511,0.6896551724137931,0.5351170568561873,0.5351170568561873,0.9060052219321149,0.6026365348399246,0.48022247102317067,0.146630408268081,694,72,139,160
10,942,4164,1040,595,114,0.730965773454285,0.6115384615384616,0.6287896872761995,0.742603550295858,0.44190140845070425,0.44190140845070425,0.815677966101695,0.5540838852097131,0.2737974161171892,0.2421991089349795,385,87,317,251
